,keyword,all_aps,all_aucs,far_neg_only_aps,far_neg_only_aucs,close_neg_only_aps,close_neg_only_aucs
0,àpɾí,0.0774343231293129,0.43,0.08155009003124326,0.40800000000000003,0.6222835497835498,0.65
1,ðɔ̀mɔ̀cɔ̀,0.10425200549619273,0.6,0.11313588106139881,0.6,0.5548062558356676,0.6000000000000001
2,lɛ́ŋgɛ́n,0.21186227578917305,0.6172727272727273,0.2191750038188828,0.6260000000000001,0.6947697675561453,0.53
3,ŋɔ̀ɽíŋgɔ́,0.10202366098541857,0.5154545454545455,0.11336739123336415,0.517,0.5188616938616939,0.5
4,mùðù,0.17787858759161762,0.6054545454545455,0.18266044114728325,0.593,0.7632051282051281,0.73
5,ùɾnɔ̀,0.07433279111988876,0.4163636363636364,0.08109674856857206,0.416,0.4668425966877979,0.42
6,ðàŋàl,0.11864621348311274,0.6236363636363637,0.12782960222435724,0.6200000000000001,0.6197203235361131,0.66
7,kə̀və̀lɛ̀ðɔ́,0.15017747580092083,0.5245454545454544,0.16180002740476132,0.528,0.5736033900739783,0.49
8,kàŋú,0.13365320860839816,0.48,0.13801564128023064,0.47200000000000003,0.6698364135864135,0.56
9,íŋgá_nɔ̀nà,0.13070596755026437,0.66,0.152536388541054,0.6799999999999999,0.4818642417094429,0.45999999999999996
